[Wed Mar 11 23:56:32.878938 2020] [core:crit] [pid 1598] (13)Permission denied: [client 127.0.0.1:52202] AH00529: /home/viktor/dev-projects/data-2/data-2/public/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/home/viktor/dev-projects/data-2/data-2/public/' is executable
[Wed Mar 11 23:59:55.595142 2020] [php7:notice] [pid 1601] [client 127.0.0.1:52286] PHP Notice:  Undefined index: fkff in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 45
[Fri Mar 13 10:42:59.979908 2020] [php7:notice] [pid 16457] [client 127.0.0.1:38580] PHP Notice:  Undefined index: fkff in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 45
[Fri Mar 13 10:42:59.980144 2020] [php7:notice] [pid 16457] [client 127.0.0.1:38580] PHP Notice:  Undefined index: office_code in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 61
[Fri Mar 13 10:44:14.609239 2020] [php7:notice] [pid 26758] [client 127.0.0.1:38594] PHP Notice:  Undefined index: fkff in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 45
[Fri Mar 13 10:44:14.609289 2020] [php7:notice] [pid 26758] [client 127.0.0.1:38594] PHP Notice:  Undefined index: office_code in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 61
[Sat Mar 14 10:37:04.378488 2020] [php7:emerg] [pid 3507] [client 127.0.0.1:39056] PHP Parse error:  syntax error, unexpected ''first_loading_receiver_phone'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 55
[Sat Mar 14 12:29:18.562357 2020] [php7:emerg] [pid 11312] [client 127.0.0.1:39810] PHP Parse error:  syntax error, unexpected ''bic'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 92
[Sat Mar 14 12:29:32.869644 2020] [php7:emerg] [pid 3512] [client 127.0.0.1:39816] PHP Parse error:  syntax error, unexpected ''bic'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 92
[Sat Mar 14 12:30:27.186030 2020] [php7:emerg] [pid 11305] [client 127.0.0.1:39826] PHP Parse error:  syntax error, unexpected ''bic'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 92
[Sat Mar 14 12:30:28.306288 2020] [php7:emerg] [pid 3511] [client 127.0.0.1:39828] PHP Parse error:  syntax error, unexpected ''bic'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 92
[Sat Mar 14 12:30:29.120183 2020] [php7:emerg] [pid 11424] [client 127.0.0.1:39830] PHP Parse error:  syntax error, unexpected ''bic'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 92
